epoch,train_loss,eval_loss,eval_top1,eval_top5
0,2.3102408189039965,2.252753125,15.55,59.45
1,1.849895857541989,1.5061109375,45.14,91.88
2,1.5136892749713018,1.3108890625,52.39,94.54
3,1.334964852913832,1.1688578125,58.11,95.89
4,1.1964920797409155,1.06786953125,60.8,96.52
5,1.1026159015985635,0.973671875,65.57,97.3
6,1.0199637127228272,0.927915625,67.54,96.95
7,0.9523095511473142,0.8395375,70.42,97.88
8,0.8966674771064367,0.80098125,71.24,97.95
9,0.8526949055683919,0.76218828125,73.15,98.22
10,0.8148057569295932,0.7348734375,74.39,98.22
11,0.7685798687048447,0.70212578125,75.25,98.39
12,0.7322643945614496,0.72963515625,74.48,98.42
13,0.7030073644259037,0.67141171875,76.37,98.87
14,0.6740226639386935,0.64600859375,77.19,98.83
15,0.6458125284084907,0.62369296875,77.54,99.03
16,0.6185953429112068,0.58204453125,79.41,99.02
17,0.602852864907338,0.54720390625,80.82,99.13
18,0.5788912540062879,0.551784375,80.91,99.16
19,0.5673381453141187,0.58727265625,79.09,99.03
20,0.5481809860620743,0.5231890625,81.9,99.11
21,0.5366267467156435,0.54912734375,81.06,98.91
22,0.5222188530824123,0.5539046875,81.05,99.16
23,0.5092722448018882,0.512526171875,82.32,99.18
24,0.4978486333902066,0.5078109375,82.32,99.27
25,0.48673493449504557,0.511153515625,82.63,99.26
26,0.4806346248357724,0.46765859375,83.84,99.29
27,0.46714858114719393,0.50030859375,82.81,99.17
28,0.4602675892603703,0.4714390625,84.02,99.29
29,0.45190330361708614,0.50881640625,82.22,99.24
30,0.44316442899214914,0.4682140625,84.16,99.17
31,0.43892890956157293,0.445021875,84.67,99.44
32,0.42781092463395537,0.461273046875,84.15,99.24
33,0.42384576946496966,0.4530421875,84.22,99.34
34,0.41723477427776046,0.46678828125,83.7,99.28
35,0.4093559341935011,0.43910703125,85.19,99.39
36,0.40540099690357845,0.4506015625,84.6,99.32
37,0.3914072817716843,0.43103125,85.29,99.37
38,0.390804805014378,0.45005078125,84.52,99.43
39,0.3838676646733895,0.445798046875,85.04,99.38
40,0.37802657916759835,0.441746875,85.46,99.43
41,0.37321401991141145,0.4290515625,85.32,99.36
42,0.3696061392625173,0.43380234375,85.62,99.32
43,0.3620695432027181,0.446787890625,84.9,99.26
44,0.35955144992241495,0.424027734375,85.75,99.51
45,0.35253709130562266,0.439663671875,85.17,99.34
46,0.352165630306953,0.43649921875,84.91,99.47
47,0.3457594800071839,0.421642578125,85.56,99.47
