epoch,train_loss,eval_loss,eval_top1,eval_top5
48,0.3389528499581875,0.413073046875,86.02,99.49
49,0.33649400209005065,0.417734375,85.63,99.44
50,0.3320609644819529,0.393946875,86.61,99.43
51,0.3282464026258542,0.42635078125,85.08,99.3
52,0.31872426042189966,0.42628125,85.49,99.38
53,0.319558986219076,0.4350275390625,85.25,99.37
54,0.30981513433731517,0.394115625,86.68,99.47
55,0.3093372600965011,0.40317578125,86.46,99.51
56,0.309583820326206,0.37964375,87.03,99.48
57,0.3011394132406284,0.4102296875,86.13,99.44
58,0.29977980653444924,0.39624140625,86.8,99.42
59,0.29346507780062847,0.403617578125,86.84,99.5
60,0.2917067966400049,0.39076171875,87.15,99.55
61,0.2839508104782838,0.415045703125,86.21,99.34
62,0.2851576558672465,0.4373234375,85.64,99.44
63,0.27748521058223186,0.401597265625,86.37,99.38
64,0.27549541806563355,0.406360546875,86.6,99.49
65,0.27008089570280835,0.39370625,87.22,99.48
66,0.27342903442107713,0.399537109375,86.61,99.55
67,0.2662825051408548,0.385037109375,86.98,99.44
68,0.25950684448083244,0.4301875,86.32,99.42
69,0.2587843557771964,0.42021015625,86.36,99.44
70,0.25560791316704873,0.40566875,86.87,99.47
71,0.2514380144385191,0.409001171875,86.44,99.37
72,0.24640052295648135,0.399915625,86.87,99.59
73,0.24078795506786077,0.3912546875,86.89,99.5
74,0.24359811580716034,0.3848767578125,87.08,99.44
75,0.23607110938964745,0.42211953125,86.4,99.44
76,0.2333960011601448,0.39884140625,87.22,99.44
77,0.23433827755924982,0.3742072265625,87.37,99.52
78,0.22666037413172233,0.3882296875,87.07,99.52
79,0.22150499266691698,0.40718515625,87.06,99.45
80,0.21372949356834095,0.37406015625,87.76,99.5
81,0.21377016747227082,0.38473984375,87.19,99.48
82,0.2165889256275617,0.394021875,87.4,99.44
83,0.2082238105054085,0.41104921875,86.62,99.3
84,0.20557892584265808,0.404848046875,87.49,99.49
85,0.20402111961291386,0.3887212890625,87.4,99.53
86,0.2020561397457734,0.40648828125,87.14,99.44
87,0.19849806173871726,0.371721875,87.72,99.54
88,0.1942257481889847,0.39582890625,87.33,99.48
89,0.1898659731524113,0.38059453125,87.89,99.57
90,0.19060864167717786,0.394441015625,87.93,99.5
91,0.18796267771185973,0.405376953125,87.49,99.49
92,0.1870021548217688,0.40610703125,87.19,99.62
93,0.17903604255272793,0.3844453125,87.53,99.6
94,0.18006503706177077,0.386916015625,87.93,99.49
95,0.170190164542351,0.4088625,87.55,99.5
96,0.16797256603454933,0.382718359375,87.84,99.57
97,0.16785982258808918,0.39591484375,87.94,99.56
98,0.1648609601916411,0.402340234375,87.4,99.52
99,0.16011537410891974,0.38832265625,88.06,99.56
100,0.15476375650136898,0.397859375,87.75,99.56
101,0.15757110220117446,0.3792640625,87.98,99.59
102,0.15038385777137217,0.38858046875,88.47,99.54
103,0.14915849895049363,0.383777734375,88.03,99.55
104,0.14835771831373373,0.3994248046875,88.19,99.45
105,0.1410722861878383,0.3956734375,87.95,99.54
106,0.14468146038170043,0.403111328125,87.99,99.53
107,0.1378200589464261,0.3867578125,88.47,99.57
108,0.13468273478822831,0.4106796875,87.99,99.62
109,0.1310757962652506,0.39806796875,87.6,99.42
110,0.12699487205499257,0.407250390625,87.96,99.55
111,0.12441148032935766,0.3959984375,88.28,99.39
112,0.12535961209199367,0.421665625,87.96,99.5
113,0.12155603636533786,0.42823359375,87.71,99.4
114,0.11799010762897058,0.388361328125,88.68,99.53
115,0.11894018431313527,0.4003447265625,88.34,99.69
116,0.11147018235463363,0.371657421875,88.36,99.59
117,0.10808609895026072,0.40327578125,88.41,99.52
118,0.10799728147207927,0.405645703125,88.56,99.61
119,0.10267274936613364,0.39243984375,88.62,99.48
120,0.10027452809974934,0.418025,88.56,99.51
121,0.09759722806226749,0.41605546875,88.14,99.59
122,0.09726102723716161,0.3989890625,88.8,99.54
123,0.09411155694904617,0.388790234375,88.87,99.54
124,0.09187549207455073,0.42616015625,88.44,99.43
125,0.09238943319099072,0.4063953125,88.77,99.52
126,0.083346328817499,0.431190234375,88.24,99.51
127,0.08342868335162983,0.42504140625,88.63,99.49
128,0.08175309492418399,0.42365859375,88.44,99.54
129,0.07573520950017831,0.43945625,88.38,99.45
130,0.07635095230757426,0.42802265625,88.52,99.57
131,0.07602764438503445,0.415228515625,88.75,99.55
132,0.07172768236352847,0.43484453125,88.24,99.61
133,0.06867867834292925,0.42351484375,88.92,99.56
134,0.06619868635988006,0.42878046875,88.73,99.48
135,0.06495474259345195,0.43007265625,89.08,99.49
136,0.06075243896398789,0.3866546875,89.25,99.55
137,0.06249729284348014,0.4183625,88.87,99.49
138,0.05651163857143659,0.415796875,89.05,99.5
139,0.05695176408745539,0.44040390625,88.89,99.46
140,0.0524947322331942,0.4526078125,89.0,99.52
141,0.051036066530893244,0.44830703125,89.02,99.59
142,0.05284568613204054,0.4358828125,89.27,99.58
143,0.04989180122382748,0.439041015625,88.93,99.46
144,0.044025150980227266,0.4322921875,89.15,99.52
145,0.041475378521359886,0.4468625,88.9,99.55
146,0.043075702279710616,0.434453125,89.75,99.58
147,0.04241831329866098,0.439505859375,89.36,99.56
148,0.037348975542073067,0.43788203125,89.48,99.55
149,0.03801910656098372,0.426272265625,89.51,99.51
150,0.03531283113675622,0.44658515625,89.35,99.57
151,0.032899614402021354,0.46112265625,89.12,99.43
152,0.03304132255367362,0.456933203125,89.28,99.64
153,0.03029215404142936,0.44333828125,89.4,99.57
154,0.028969207243659558,0.45312890625,89.57,99.53
155,0.028639244901923797,0.44886953125,89.23,99.57
156,0.026380127837929205,0.42926328125,89.92,99.57
157,0.024354650658101606,0.470128125,89.43,99.53
158,0.024455435717335113,0.45543984375,89.61,99.55
159,0.022888548041765506,0.45451328125,89.73,99.54
160,0.021167663874056858,0.459690625,89.69,99.55
161,0.019864892847358415,0.44834296875,89.85,99.53
162,0.019541813113177434,0.45560234375,89.71,99.66
163,0.019041557013033294,0.46952109375,89.54,99.56
164,0.018497749778609244,0.46369375,89.59,99.62
165,0.01548968568109931,0.46228203125,89.84,99.64
166,0.017871428018388074,0.433221875,90.39,99.54
167,0.015883558026204506,0.4550703125,89.98,99.62
168,0.01388334833467618,0.46606953125,89.99,99.61
169,0.012622828975033301,0.46801484375,90.06,99.6
170,0.013445647789213137,0.4634484375,90.13,99.61
171,0.012417423089918419,0.45278984375,90.38,99.6
172,0.012310335314713228,0.47264140625,90.04,99.6
173,0.011190979335552607,0.478165625,90.0,99.58
174,0.010229084678949453,0.4911796875,89.93,99.63
175,0.010625460958824709,0.47973125,90.01,99.64
176,0.010918298807854835,0.47474140625,90.1,99.59
177,0.009670219763826865,0.48175390625,90.28,99.66
178,0.008995785762388736,0.48744609375,89.95,99.59
179,0.009866424592641684,0.48307421875,90.16,99.59
180,0.009432962073538548,0.483353125,90.26,99.59
181,0.008843569197238256,0.481375,90.16,99.6
182,0.008542269205626769,0.47831328125,90.27,99.57
183,0.00842305491797817,0.4829328125,89.94,99.6
184,0.008659616504342127,0.47888515625,90.31,99.62
185,0.008152344803779554,0.4763484375,90.33,99.59
186,0.007794865321081418,0.484125,90.22,99.58
187,0.007146123331040144,0.4853453125,90.21,99.6
188,0.006750136028784208,0.488578125,90.29,99.59
189,0.007373274631129625,0.4828296875,90.28,99.62
190,0.007109048984085138,0.48577265625,90.26,99.64
191,0.00737797329441095,0.4835828125,90.18,99.61
192,0.006956832335354426,0.4828375,90.23,99.63
193,0.0074123633523973135,0.484078125,90.35,99.59
194,0.007147544314368413,0.4828671875,90.3,99.6
195,0.006314432597122131,0.48270859375,90.26,99.61
196,0.007427191805954163,0.4809328125,90.27,99.61
197,0.0073848415548220655,0.48126640625,90.31,99.61
198,0.006794945659259191,0.4813609375,90.32,99.61
199,0.007261761062993453,0.48153125,90.32,99.61
200,0.006961515424056695,0.4815078125,90.33,99.61
201,0.007483116551660575,0.4815015625,90.32,99.61
202,0.007505522606273492,0.48141015625,90.34,99.61
203,0.007365486558335714,0.481428125,90.31,99.61
204,0.006042105100380305,0.48143671875,90.35,99.61
205,0.00735610300818315,0.48145625,90.35,99.61
206,0.006748788908888132,0.48145859375,90.35,99.61
207,0.007303830092916122,0.48137265625,90.35,99.61
208,0.006585987172543238,0.481509375,90.33,99.61
209,0.007624356035525218,0.48159296875,90.32,99.61
